Original Text,Translated to English,Topic
Améliorer le niveau de vie,Improve the standard of living,politics
Weniger propaganda,Less propaganda,politics
Żadne,None,nothing
no estoy intetesada en su contenido a excepción de los datos que son relevantes en mi País.(cooperación de la UE con Panamá),I am not intended in its content except for the data that are relevant in my country (EU cooperation with Panama),eu
Spiegazione puntuale di cosa succede,Punctual explanation of what happens,survey
Tun tun oo,Tun tun,nothing
En osaa sanoa,I can not say,nothing
De kan vi nog,They can we nog,nothing
"Aktuální data, přesnější a detailnější informace","Current data, more accurate and more detailed information",information
Amerikanische Propaganda weglassen.,Leave out American propaganda.,politics
Des données beaucoup plus précises.,Much more precise data.,eu
Nieko,Nothing,nothing
"Die EU sollte endlich in die Luft gesprengt werden, dann braucht man diese Website soundso nicht mehr besuchen.","The EU should finally be blown up, then you no longer need to visit this website.",website
"Poder leerlo en español. No funciona la página en español, le das a ES y sigue en inglés.","Be able to read it in Spanish. The page does not work in Spanish, you give it and continue in English.",page
Nichts,Nothing,nothing
"Im dismayed at the pro-Israeli propaganda and the labelling of palestinians as ""terrorists"" and references to ""human shields,"" echoing the press statements of Israel","Im dismayed at the pro-Israeli propaganda and the labelling of palestinians as ""terrorists"" and references to ""human shields,"" echoing the press statements of Israel",politics
Schlagworte mit Suchergebnis,Keywords with a search result,politics
wyjebanie calego fit for 55 i wyjscie z unii komunistycznej,Fit for 55 and exit from the Communist Union,eu
"more substance and background, not just formal burocratic announcements","more substance and background, not just formal burocratic announcements",politics
Wyburzenie parlamentu europejskiego,Demolition of the European Parliament,eu
Nichts,Nothing,nothing
Niciuna,None,nothing
Je sais pas,I don't know,nothing
"Unios szankcoik feloldása mert akcio van a yandexen, de persze fizetni nem tudok sehogy se.....","Unios Uni Sanckois because there is an action on Yandex, but of course I can't pay at all .....",nothing
Żeby rządził PIS a nie Donald Tusk,"That PiS rule, not Donald Tusk",eu
Mehr Rücksicht auf die Interessen Nationalstaaten,More consideration of the interests of nation states,website
Mehr Welthunger,More world hunger,politics
se ci fosse maggior concretezza,If there was greater concreteness,politics
"više ilustracija, video obrade teksta s primjerima, infografika, razgovora s krajnjim korisnicima, obrade istraživanja eurobarometra u relevantni kontekst sadržaja stranice, itd","More illustrations, video processing with examples, infographics, end-user conversations, Eurobarometer research in the relevant context of page content, etc.",page
Es gibt keine EU,There is no EU,nothing
"zmiany na swiecie ,podejscie do problemu ludobojstwa w GAZIE","changes in the world, approach to the problem of people in Gaza",politics
Mehr Aufmerksamkeit auf die Website durch Werbung pp. Erregen,Attract more attention to the website by advertising pp.,website
Die Diskussionen und Entscheidungen auf EU ebene gehören in die Nachrichtensender und Talkshows. Und nicht erst wenn diese Beschlossen sind. Jede Entscheidung der EU muss in der Öffentlichkeit VORHER Diskutiert werden. DAS MACHT IHR LEIDER NICHT und dadurch ist die EU SEHR INTRANSPARENT.,"The discussions and decisions at the EU level belong in the news channels and talk shows. And not only when they have been decided. Every EU decision must be discussed in public beforehand. Unfortunately, you don't do that and the EU is very non -transparent.",eu
да удовлетворява нуждите ми за информация,to satisfy my information needs,information
Studiare una pagina più ergonomica con concetti chiari permeabili da tutti da un bambino ad un anziano. Da un malato ad un disoccupato. La complessità l'essere contorto è il muro che allontana l'Europa dal suo vero popolo.,Studying a more ergonomic page with clear concepts permeable by everyone from a child to an elderly person. From a patient to an unemployed. Complexity The twisted being is the wall that removes Europe from its true people.,page
meow,meow,nothing
"Διαφάνεια ως προς τη λήψη αποφάσεων να μην αλλάζει συχνά ως ιστότοπος διεύθυνση, καλύτερη οργάνωση υλικού","Transparency in decision making not frequently change as a address website, better material organization",website
Mer patriotiska förslag,More patriotic suggestions,eu
"seite sollte orientierter am nutzer sein, möglichkeit bei der umfrage ^^ich weiss nicht oder -keine aussage dazu ^^ zu geben. allein die arroganz bei der frage nach dem beruf! lehrer, mitarbeiter eu, sonst ist wohl keiner erwähnenswert?","Page should be oriented towards the user, possibility of the survey ^^ I do not know or not to give it ^^. The arrogance alone when asked about the job! Teacher, employee, EU, otherwise nobody is worth mentioning?",survey
Fuck eu,Fuck Me,nothing
good service,good service,politics
"Berufsbezeichnung , warum gibt es keine Angestellte , Arbeiter und des Gleichen ??????? Wenn wir nicht wären würde es euch nicht geben ......","Professional title, why are there no employees, workers and the same ??????? If we weren't, there would be no ......",survey
